Wall time,Step,Value
1646227370.588889,0,4.057110786437988
1646227379.143241,1,3.8960635662078857
1646227387.635261,2,3.9347610473632812
1646227395.786538,3,3.904641628265381
1646227404.360021,4,3.87272047996521
1646227413.352006,5,3.738771677017212
1646227422.377691,6,3.6101748943328857
1646227430.755,7,3.3630499839782715
1646227439.782663,8,3.2481753826141357
1646227447.825567,9,3.0784032344818115
1646227456.230839,10,2.871880531311035
1646227464.231486,11,2.7138240337371826
1646227472.175143,12,2.5073513984680176
1646227480.197902,13,2.3263626098632812
1646227487.635923,14,2.2226006984710693
1646227494.665985,15,2.0283398628234863
1646227501.762151,16,1.9412996768951416
1646227509.282364,17,1.8429577350616455
1646227517.011643,18,1.7059681415557861
1646227525.968868,19,1.572710633277893
1646227533.771625,20,2.526695489883423
1646227541.136079,21,2.2880859375
1646227548.409546,22,1.662941336631775
1646227556.710861,23,1.5715018510818481
1646227564.140624,24,1.5995229482650757
1646227572.012711,25,1.295075535774231
1646227579.332867,26,1.2543587684631348
1646227586.577744,27,1.16789710521698
1646227594.193192,28,1.0839978456497192
1646227601.753044,29,0.9808146357536316
1646227609.694954,30,0.9145278930664062
1646227617.187797,31,0.880183219909668
1646227624.65491,32,121.08610534667969
1646227631.907651,33,2.7753427028656006
1646227639.639562,34,2.0688774585723877
1646227647.294198,35,1.7513922452926636
1646227654.776807,36,1.5013799667358398
1646227662.552162,37,1.378514051437378
1646227670.276047,38,1.2655787467956543
1646227677.839893,39,1.4456632137298584
1646227685.356264,40,1.226054310798645
1646227692.633532,41,1.1259249448776245
1646227700.536578,42,1.0509637594223022
1646227708.138903,43,0.9598391652107239
1646227715.863586,44,0.9879305958747864
1646227723.730975,45,0.8768910765647888
1646227731.258537,46,0.8622450828552246
1646227738.488185,47,0.8631770014762878
1646227745.545795,48,0.8406972885131836
1646227753.136535,49,0.7698783278465271
1646227760.672766,50,0.710007905960083
1646227768.198905,51,0.6999561786651611
1646227776.076266,52,0.6854501962661743
1646227783.399258,53,1.4138776063919067
1646227790.820943,54,1.0470799207687378
1646227798.46066,55,0.9266754984855652
1646227806.240532,56,0.9431710839271545
1646227813.724394,57,0.7425516247749329
1646227821.104575,58,0.6614248156547546
1646227829.081986,59,0.5823039412498474
1646227836.743122,60,0.6177412271499634
1646227844.137416,61,0.5652646422386169
1646227851.771966,62,0.5994698405265808
1646227859.221878,63,0.5604538917541504
1646227867.523936,64,0.5194185972213745
1646227876.220609,65,0.5248163938522339
1646227884.124293,66,0.49003586173057556
1646227892.006765,67,0.5237798690795898
1646227899.584094,68,0.483712375164032
1646227907.145601,69,0.3944852650165558
1646227958.766372,70,0.40522176027297974
1646227967.516901,71,0.3943789303302765
1646227975.957635,72,0.37728622555732727
1646227986.02857,73,0.40022653341293335
1646227994.444918,74,0.39750054478645325
1646228003.82823,75,0.38235771656036377
1646228012.264416,76,0.36489441990852356
1646228020.931925,77,0.5310216546058655
1646228028.910443,78,0.3692602813243866
1646228037.119776,79,0.27697867155075073
1646228044.957689,80,0.2774234116077423
1646228052.740673,81,0.2784677743911743
1646228060.403457,82,0.30423370003700256
1646228068.496647,83,0.2876320779323578
1646228076.265415,84,0.2871752977371216
1646228083.701077,85,0.2010543793439865
1646228091.083185,86,0.20443105697631836
1646228098.826306,87,0.26309406757354736
1646228106.60982,88,0.24673475325107574
1646228114.672399,89,0.25436046719551086
1646228122.828253,90,0.3152509927749634
1646228130.794031,91,0.21079498529434204
1646228138.390583,92,0.23480626940727234
1646228146.250378,93,0.21493250131607056
1646228153.821884,94,0.1450974941253662
1646228161.747111,95,0.1618238240480423
1646228169.712666,96,0.2049744874238968
1646228177.342325,97,0.17671632766723633
1646228185.244784,98,0.16753458976745605
1646228193.269275,99,0.17581570148468018
1646228448.07002,100,0.1976567804813385
1646228456.183012,101,0.15867099165916443
1646228464.828071,102,0.12667228281497955
1646228473.081555,103,0.1439772993326187
1646228480.857488,104,0.42284107208251953
1646228488.796158,105,0.24740776419639587
1646228496.168649,106,0.13463442027568817
1646228504.171699,107,0.12188772857189178
1646228512.037001,108,0.0916084572672844
1646228519.400746,109,0.08479663729667664
1646228584.794373,110,0.09944816678762436
1646228593.468489,111,0.13236095011234283
1646228602.023963,112,0.13079330325126648
1646228610.457828,113,0.12979832291603088
1646228618.116531,114,0.08271186053752899
1646228626.660204,115,0.5281034708023071
1646228635.322038,116,0.7006544470787048
1646228644.070531,117,0.29540392756462097
1646228652.769137,118,0.17391423881053925
1646228660.8268,119,0.10882697999477386
1646228699.152676,120,0.1214439645409584
1646228706.952633,121,0.08183300495147705
1646228714.39976,122,0.09687299281358719
1646228722.37024,123,0.06687851995229721
1646228730.373572,124,0.10753340274095535
1646228740.024345,125,0.07918760925531387
1646228748.454442,126,0.05170446261763573
1646228756.486587,127,0.12863285839557648
1646228765.001653,128,0.20268945395946503
1646228772.545704,129,0.08090651035308838
1646228818.018751,130,0.18334582448005676
1646228826.060309,131,0.06523943692445755
1646228833.79286,132,0.08758325129747391
1646228841.386905,133,0.05356242507696152
1646228849.370611,134,0.25618070363998413
1646228857.605474,135,0.4639468789100647
1646228865.812826,136,0.15330803394317627
1646228873.701361,137,0.07175236940383911
1646228881.385384,138,0.038762569427490234
1646228889.380237,139,0.0537797287106514
1646228999.041231,140,0.06786593049764633
