Wall time,Step,Value
1646133042.156182,0,0.02916666679084301
1646133048.807415,1,0.04125000163912773
1646133055.871384,2,0.04833333194255829
1646133062.253261,3,0.06208333373069763
1646133068.493976,4,0.07916666567325592
1646133075.327032,5,0.13083332777023315
1646133081.996895,6,0.15625
1646133088.366919,7,0.2004166692495346
1646133094.739079,8,0.2562499940395355
1646133100.927868,9,0.3320833444595337
1646133107.434088,10,0.38374999165534973
1646133113.526994,11,0.44333332777023315
1646133120.053512,12,0.46958333253860474
1646133126.178562,13,0.5041666626930237
1646133132.172273,14,0.5616666674613953
1646133138.265935,15,0.6087499856948853
1646133144.652066,16,0.6254166960716248
1646133150.671211,17,0.6612499952316284
1646133156.972505,18,0.6933333277702332
1646133163.727935,19,0.6945833563804626
1646133170.236805,20,0.737500011920929
1646133176.452738,21,0.7049999833106995
1646133182.662194,22,0.7566666603088379
1646133188.752653,23,0.7991666793823242
1646133195.120442,24,0.42750000953674316
1646133201.340278,25,0.6008333563804626
1646133207.550111,26,0.6966666579246521
1646133213.77775,27,0.7487499713897705
1646133220.078349,28,0.7766666412353516
1646133226.048954,29,0.7879166603088379
1646133232.401509,30,0.8291666507720947
1646133238.726867,31,0.8329166769981384
1646133244.645071,32,0.8341666460037231
1646133250.618271,33,0.7641666531562805
1646133256.566837,34,0.3333333432674408
1646133262.633283,35,0.625
1646133268.326468,36,0.7383333444595337
1646133274.404809,37,0.7758333086967468
1646133280.471834,38,0.8149999976158142
1646133286.223229,39,0.846666693687439
1646133292.477968,40,0.8133333325386047
1646133298.213061,41,0.8504166603088379
1646133304.203533,42,0.8787500262260437
1646133310.500249,43,0.84375
1646133316.552218,44,0.8829166889190674
1646133322.654417,45,0.8933333158493042
1646133328.748872,46,0.9112499952316284
1646133334.663274,47,0.9191666841506958
1646133340.712681,48,0.9179166555404663
1646133346.781593,49,0.9258333444595337
1646133352.895006,50,0.934583306312561
1646133358.777432,51,0.9125000238418579
1646133364.942274,52,0.9200000166893005
1646133371.02108,53,0.9420833587646484
1646133377.028741,54,0.8858333230018616
1646133383.316624,55,0.9112499952316284
1646133389.69913,56,0.9424999952316284
1646133395.706788,57,0.95333331823349
1646133401.817772,58,0.92166668176651
1646133407.792991,59,0.940416693687439
1646133413.646184,60,0.9633333086967468
1646133419.5399,61,0.9024999737739563
1646133425.756537,62,0.9516666531562805
1646133431.927217,63,0.9595833420753479
1646133437.878612,64,0.9583333134651184
1646133444.148766,65,0.9387500286102295
1646133450.029133,66,0.9537500143051147
1646133455.843074,67,0.9683333039283752
1646133461.741389,68,0.9608333110809326
1646133468.180471,69,0.9266666769981384
1646133474.346509,70,0.9595833420753479
1646133480.419599,71,0.9766666889190674
1646133486.290388,72,0.9820833206176758
1646133492.349372,73,0.9833333492279053
1646133498.401764,74,0.9208333492279053
1646133504.629506,75,0.9549999833106995
1646133510.477845,76,0.9641666412353516
1646133516.592083,77,0.9712499976158142
1646133522.827927,78,0.9241666793823242
1646133528.679359,79,0.9691666960716248
1646133534.884146,80,0.9912499785423279
1646133540.988551,81,0.9895833134651184
1646133547.353856,82,0.9933333396911621
1646134259.954451,84,0.9599999785423279
1646134266.470582,85,0.9587500095367432
1646134273.099732,86,0.9612500071525574
1646134279.534121,87,0.98416668176651
1646134285.917568,88,0.9087499976158142
1646134292.395045,89,0.9766666889190674
1646134298.527546,90,0.9599999785423279
1646134305.123557,91,0.9725000262260437
1646134311.681443,92,0.9787499904632568
1646134317.699283,93,0.9816666841506958
1646134323.865663,94,0.9708333611488342
1646134329.665734,95,0.9820833206176758
1646134335.892238,96,0.9954166412353516
1646134342.003795,97,0.9912499785423279
1646134347.854136,98,0.9708333611488342
1646134353.980827,99,0.9445833563804626
