Wall time,Step,Value
1647146280.846744,0,4.095268249511719
1647146292.836918,1,3.945467233657837
1647146304.079963,2,3.5851457118988037
1647146315.281999,3,4.310910224914551
1647146326.219175,4,3.5617520809173584
1647146338.018867,5,3.2103562355041504
1647146350.43139,6,2.891583204269409
1647146360.857622,7,6.052115440368652
1647146371.221794,8,3.323368549346924
1647146381.740043,9,2.9719064235687256
1647146392.13533,10,2.922877311706543
1647146402.783868,11,2.786658763885498
1647146413.099119,12,2.6098711490631104
1647146423.251232,13,2.4617760181427
1647146434.781414,14,2.326425075531006
1647146445.693338,15,2.2640318870544434
1647146456.100425,16,2.12835431098938
1647146466.627168,17,2.0539305210113525
1647146477.33869,18,1.942431926727295
1647146487.899736,19,1.8727079629898071
1647146498.510441,20,1.7944086790084839
1647146509.448633,21,1.7055413722991943
1647146519.969564,22,1.635601282119751
1647146530.528143,23,1.5598376989364624
1647146541.278271,24,1.4879809617996216
1647146551.684664,25,1.4457204341888428
1647146562.504263,26,1.4674232006072998
1647146573.26482,27,1.3025293350219727
1647146583.906594,28,1.2578469514846802
1647146594.561013,29,1.1799274682998657
1647146605.488642,30,1.22102952003479
1647146616.114779,31,1.1357442140579224
1647146627.010702,32,1.059629201889038
1647146637.717713,33,1.0415195226669312
1647146648.489429,34,0.9616060256958008
1647146659.431826,35,0.9805296063423157
1647146670.07243,36,0.9018846154212952
1647146681.016042,37,0.9072255492210388
1647146691.764986,38,0.8435527086257935
1647146702.489595,39,0.8063489198684692
1647146713.66747,40,0.8474555015563965
1647146724.53214,41,0.7526633143424988
1647146735.074213,42,0.7043328881263733
1647146746.165713,43,0.6837747693061829
1647146756.701282,44,0.6509218215942383
1647146767.501227,45,0.5964807868003845
1647146778.707751,46,0.709541380405426
1647146789.437829,47,0.6703852415084839
1647146800.429688,48,0.5553717613220215
1647146811.42881,49,0.6415678858757019
1647146822.337352,50,0.5911123752593994
1647146833.270369,51,0.48458558320999146
1647146844.053472,52,0.519532322883606
1647146855.067815,53,0.5092443823814392
1647146866.084491,54,0.44457125663757324
1647146876.918887,55,0.4935062527656555
1647146887.835219,56,0.4206990599632263
1647146898.829743,57,0.4478156268596649
1647146909.861266,58,0.3876183032989502
1647146920.812995,59,0.35920804738998413
1647146931.829829,60,0.3855113685131073
1647146943.001889,61,0.2906135022640228
1647146954.157989,62,0.5933318734169006
1647146965.256407,63,0.4314019978046417
1647146976.321953,64,0.30604130029678345
1647146987.769792,65,1.5067607164382935
1647146998.766413,66,11.129111289978027
1647147010.097498,67,2.963454246520996
1647147020.925493,68,3.0294575691223145
1647147031.697325,69,2.636255979537964
1647147185.163374,70,2.2339768409729004
1647147195.43411,71,1.8657640218734741
1647147206.125698,72,1.6419397592544556
1647147217.039311,73,1.5399783849716187
1647147228.453943,74,1.326500654220581
1647147239.667693,75,1.1732409000396729
1647147251.304024,76,1.0491071939468384
1647147262.756299,77,0.9948559999465942
1647147274.223037,78,0.8967039585113525
1647147285.585873,79,0.8517857789993286
1647147296.429829,80,0.8803353309631348
1647147307.528414,81,1.0131479501724243
1647147318.299592,82,0.740750789642334
1647147328.949904,83,0.6622623205184937
1647147339.767867,84,0.6509562730789185
1647147350.612213,85,0.6403589248657227
1647147363.295173,86,0.5530092716217041
1647147374.490013,87,0.5163145065307617
1647147385.17706,88,0.48718324303627014
1647147396.072864,89,0.47737741470336914
1647147407.133768,90,0.43109098076820374
1647147418.046509,91,0.4726850688457489
1647147429.003766,92,0.3741059899330139
1647147440.015473,93,0.3804152309894562
1647147450.767358,94,0.417903870344162
1647147461.622691,95,0.3463565707206726
1647147472.926928,96,0.3263677954673767
1647147483.404307,97,0.5973343253135681
1647147494.364572,98,0.5129635334014893
1647147505.165973,99,0.3443363904953003
1647147516.054153,100,0.29375219345092773
1647147526.918923,101,0.27365174889564514
1647147537.684505,102,0.32253530621528625
1647147548.372879,103,0.2824869751930237
1647147559.706182,104,0.22645431756973267
1647147570.674064,105,0.21569980680942535
1647147581.509296,106,0.25930479168891907
1647147592.48773,107,0.2139492630958557
1647147603.590413,108,0.2293929159641266
1647147614.316184,109,0.19097545742988586
1647147625.241554,110,0.2623743414878845
1647147636.195454,111,0.3236033618450165
1647147647.318152,112,0.19769759476184845
1647147658.600504,113,0.18234699964523315
1647147669.571799,114,0.1327776163816452
1647147680.717197,115,0.15677684545516968
1647147691.612311,116,0.12057406455278397
1647147702.756373,117,0.22066980600357056
1647147713.600341,118,0.17210127413272858
1647147724.421614,119,0.12326283752918243
1647147735.307605,120,0.19182871282100677
1647147746.380025,121,0.1714368313550949
1647147757.191566,122,0.5159597992897034
1647147768.008144,123,0.43102210760116577
1647147778.888704,124,0.2215578705072403
1647147790.113359,125,0.1835319995880127
1647147801.107971,126,0.12482249736785889
1647147812.025009,127,0.11921608448028564
1647147823.05277,128,0.11736041307449341
1647147833.878177,129,0.13794930279254913
1647147845.144849,130,0.11395343393087387
1647147856.37279,131,0.19527524709701538
1647147867.272585,132,0.18009446561336517
1647147878.055851,133,0.10966963320970535
1647147889.133347,134,0.07262267172336578
1647147900.10441,135,0.05798668414354324
1647147911.219531,136,0.10780151188373566
1647147922.354486,137,0.19976727664470673
1647147933.41403,138,0.10378566384315491
1647147944.766133,139,0.09337112307548523
1647147956.131237,140,0.06021176278591156
1647147967.032658,141,0.14050616323947906
1647147978.10721,142,0.18907302618026733
1647147989.318522,143,0.08576913923025131
1647148000.241791,144,0.065027616918087
1647148011.330793,145,0.11407629400491714
1647148022.306508,146,0.14055797457695007
1647148033.513966,147,0.10600408911705017
1647148042.950699,148,0.061214085668325424
1647148052.704811,149,0.03871125727891922
1647148063.419099,150,0.05704566091299057
1647148074.140012,151,0.2809947729110718
