Wall time,Step,Value
1645590701.504658,0,0.025416666641831398
1645590710.282815,1,0.036666665226221085
1645590718.64502,2,0.04333333298563957
1645590727.021879,3,0.05166666582226753
1645590735.96553,4,0.04583333432674408
1645590744.113443,5,0.09624999761581421
1645590752.882969,6,0.1329166740179062
1645590761.834976,7,0.17624999582767487
1645590770.719772,8,0.16833333671092987
1645590778.924546,9,0.23083333671092987
1645590787.320064,10,0.2795833349227905
1645590795.175591,11,0.3316666781902313
1645590803.527634,12,0.36916667222976685
1645590812.022255,13,0.4325000047683716
1645590820.089134,14,0.45916667580604553
1645590828.604743,15,0.46291667222976685
1645590837.638488,16,0.4466666579246521
1645590845.52427,17,0.5233333110809326
1645590853.523369,18,0.5491666793823242
1645590861.317465,19,0.5724999904632568
1645590869.656914,20,0.5379166603088379
1645590877.535761,21,0.60958331823349
1645590885.439263,22,0.6358333230018616
1645590893.105241,23,0.6416666507720947
1645590900.954172,24,0.6745833158493042
1645590908.739259,25,0.6816666722297668
1645590916.67227,26,0.6879166960716248
1645590924.287964,27,0.7258333563804626
1645590932.096875,28,0.7429166436195374
1645590940.01509,29,0.7254166603088379
1645590948.233797,30,0.7412499785423279
1645590956.207344,31,0.7766666412353516
1645590964.07839,32,0.7962499856948853
1645590971.999076,33,0.7904166579246521
1645590979.895348,34,0.79708331823349
1645590987.793541,35,0.7808333039283752
1645590995.727245,36,0.8504166603088379
1645591003.706121,37,0.8333333134651184
1645591011.395409,38,0.8604166507720947
1645591019.250253,39,0.8758333325386047
1645591026.825748,40,0.8429166674613953
1645591034.531411,41,0.8650000095367432
1645591042.359297,42,0.8870833516120911
1645591050.042045,43,0.8958333134651184
1645591057.903196,44,0.8999999761581421
1645591065.594064,45,0.9133333563804626
1645591073.424443,46,0.8941666483879089
1645591081.20972,47,0.8104166388511658
1645591089.024595,48,0.9079166650772095
1645591096.436896,49,0.9320833086967468
1645591104.028687,50,0.8758333325386047
1645591111.844794,51,0.9008333086967468
1645591119.655592,52,0.9087499976158142
1645591127.588921,53,0.8870833516120911
1645591135.644628,54,0.9195833206176758
1645591143.525031,55,0.934166669845581
1645591151.086103,56,0.9429166913032532
1645591158.720162,57,0.9300000071525574
1645591166.615932,58,0.9495833516120911
1645591174.755736,59,0.9566666483879089
1645591182.639478,60,0.9433333277702332
1645591190.751056,61,0.9304166436195374
1645591198.661605,62,0.9145833253860474
1645591206.540749,63,0.9208333492279053
1645591214.604434,64,0.9641666412353516
1645591222.427967,65,0.9454166889190674
1645591230.485943,66,0.9725000262260437
1645591238.105141,67,0.95291668176651
1645591245.814961,68,0.9245833158493042
1645591253.555273,69,0.7587500214576721
1645591261.553474,70,0.8929166793823242
1645591270.208464,71,0.9474999904632568
1645591278.036958,72,0.9537500143051147
1645591285.795323,73,0.9712499976158142
1645591293.348753,74,0.9479166865348816
1645591300.792688,75,0.9570833444595337
1645591308.618189,76,0.9416666626930237
1645591316.304772,77,0.9683333039283752
1645591324.204907,78,0.9733333587646484
1645591332.045927,79,0.9758333563804626
1645591339.915091,80,0.9620833396911621
1645591347.865516,81,0.9429166913032532
1645591355.577521,82,0.9595833420753479
1645591363.538562,83,0.9700000286102295
1645591371.308121,84,0.9754166603088379
1645591378.942076,85,0.981249988079071
1645591386.860947,86,0.9762499928474426
1645591394.585754,87,0.9583333134651184
1645591402.171304,88,0.9925000071525574
1645591409.99183,89,0.9958333373069763
1645591417.739945,90,0.987500011920929
1645591425.747399,91,0.9941666722297668
1645591433.674388,92,0.9933333396911621
1645591441.651477,93,0.9620833396911621
1645591449.513886,94,0.9670833349227905
1645591457.560096,95,0.9620833396911621
1645591465.279661,96,0.9670833349227905
1645591473.042084,97,0.9975000023841858
1645591480.713263,98,1.0
1645591488.703588,99,0.9975000023841858
